ふ	
ぉ	
と	
ぷ	
ら	
ざ	
選	
評	
　	
も	
み	
じ	
の	
木	
に	
と	EVENT class="OCCURRENCE" eid="e1"
ま	
っ	
て	
仲	
良	
く	
寄	EVENT class="OCCURRENCE" eid="e2"
り	
添	
う	
二	
羽	
の	
キ	
ジ	
バ	
ト	
。	
「	
目	
を	
と	EVENT class="OCCURRENCE" eid="e3"
じ	
て	
」	
は	
、	
京	
都	
御	
所	
で	
の	
ス	
ナ	
ッ	
プ	
。	
最	
初	
は	
離	EVENT class="NULL" eid="e4"
れ	
て	
と	EVENT class="OCCURRENCE" eid="e5"
ま	
っ	
て	
い	
た	
そ	
う	
で	
す	
が	
、	
や	
が	
て	
二	
羽	
が	
並	EVENT class="OCCURRENCE" eid="e6"
び	
、	
写	
真	
の	
よ	
う	
に	
恋	
人	
同	
士	
を	
思	EVENT class="OCCURRENCE" eid="e7"
わ	
せ	
る	
し	
ぐ	
さ	
に	
移	EVENT class="I_ACTION" eid="e8"
っ	
た	
そ	
う	
で	
す	
。	
バ	
ッ	
ク	
が	
暗	EVENT class="NULL" eid="e9"
い	
中	
、	
ス	
ト	
ロ	
ボ	
の	
光	
が	
鳥	
に	
集	EVENT class="OCCURRENCE" eid="e10"
光	
し	
て	
、	
ス	
ポ	
ッ	
ト	
ラ	
イ	
ト	
を	
当	EVENT class="OCCURRENCE" eid="e11"
て	
た	
よ	
う	
に	
な	EVENT class="OCCURRENCE" eid="e12"
っ	
た	
の	
と	
、	
タ	
イ	
ミ	
ン	
グ	
よ	EVENT class="NULL" eid="e13"
く	
ま	
ぶ	
た	
を	
閉	EVENT class="OCCURRENCE" eid="e14"
じ	
て	
く	
れ	
た	
こ	
と	
で	
、	
独	EVENT class="NULL" eid="e15"
特	
な	
雰	
囲	
気	
の	
写	
真	
に	
な	EVENT class="OCCURRENCE" eid="e16"
り	
ま	
し	
た	
。	
　	
「	
喜	
色	
満	
面	
」	
は	
、	
道	
を	
ま	EVENT class="OCCURRENCE" eid="e17"
ち	
が	
え	
て	
偶	
然	
出	EVENT class="OCCURRENCE" eid="e18"
会	
っ	
た	
小	
さ	
な	
石	
像	
で	
す	
。	
道	
や	
旅	
の	
安	
全	
を	
守	EVENT class="NULL" eid="e19"
る	
道	
祖	
神	
の	
ひ	
と	
つ	
で	
し	
ょ	
う	
が	
、	
編	
み	
笠	
を	
か	EVENT class="OCCURRENCE" eid="e20"
ぶ	
っ	
た	
人	EVENT class="NULL" eid="e21"
な	
つ	
っ	
こ	
い	
笑	
顔	
を	
見	EVENT class="PERCEPTION" eid="e22"
る	
だ	
け	
で	
、	
旅	
の	
疲	
れ	
も	
取	EVENT class="I_ACTION" eid="e23"
れ	
そ	
う	
で	
す	
。	
　	
「	
昼	
寝	
」	
は	
、	
桜	
の	
木	
の	
上	
で	
気	
持	
ち	
良	EVENT class="NULL" eid="e24"
さ	
そ	
う	
に	
眠	EVENT class="OCCURRENCE" eid="e25"
る	
ニ	
ャ	
ン	
コ	
で	
す	
。	
別	
に	
こ	
れ	
と	
い	
っ	
た	
写	
真	
で	
は	
な	
い	
の	
で	
す	
が	
、	
し	
ま	
模	
様	
の	
洋	
服	
姿	
が	
か	EVENT class="NULL" eid="e26"
わ	
い	
ら	
し	
い	
で	
す	
ね	
。	
写	
真	
報	
道	
局	
　	
朝	
田	
康	
嗣	
「	
目	
を	
と	EVENT class="OCCURRENCE" eid="e27"
じ	
て	
」	
＝	
京	
都	
御	
所	
　	
兵	
庫	
・	
伊	
丹	
市	
、	
会	
社	
員	
、	
阪	
上	
久	
子	
さ	
ん	
「	
喜	
色	
満	
面	
」	
＝	
奈	
良	
・	
宝	
生	
湖	
　	
大	
阪	
・	
東	
大	
阪	
市	
、	
建	
設	
業	
、	
牧	
野	
高	
明	
さ	
ん	
（	
６	TIMEX3 definite="FALSE" value="P62Y" type="DURATION" tid="t1" valueFromSurface="P62Y"
２	
）	
「	
昼	
寝	
」	
＝	
名	
古	
屋	
城	
　	
大	
阪	
・	
堺	
市	
、	
会	
社	
員	
、	
船	
附	
文	
男	
さ	
ん	
（	
６	TIMEX3 definite="FALSE" value="P61Y" type="DURATION" tid="t2" valueFromSurface="P61Y"
１	
）	
《	
投	
稿	
歓	
迎	
》	
　	
題	
材	
は	
、	
四	
季	
を	
通	
じ	
て	
身	EVENT class="NULL" eid="e28"
近	
な	
生	
活	
の	
で	
き	
ご	
と	
、	
風	
景	
な	
ど	
自	EVENT class="NULL" eid="e29"
由	
で	
す	
。	
ま	
た	
報	
道	
性	
の	
あ	EVENT class="NULL" eid="e30"
る	
作	
品	
、	
事	
件	
、	
事	
故	
な	
ど	
の	
ニ	
ュ	
ー	
ス	
写	
真	
も	
歓	EVENT class="OCCURRENCE" eid="e31"
迎	
し	
ま	
す	
。	
緊	EVENT class="NULL" eid="e32"
急	
の	
場	
合	
は	
、	
写	
真	
報	
道	
局	
に	
ご	
連	
絡	
を	
。	
未	
現	
像	
で	
も	
構	EVENT class="I_STATE" eid="e33"
い	
ま	
せ	
ん	
。	
ニ	
ュ	
ー	
ス	
写	
真	
と	
し	
て	
掲	EVENT class="OCCURRENCE" eid="e34"
載	
さ	
せ	
て	
い	
た	
だ	
く	
こ	
と	
が	
あ	
り	
ま	
す	
。	
【	
投	
稿	
要	
項	
】	
１	
サ	
イ	
ズ	
は	
キ	
ャ	
ビ	
ネ	
（	
２	
Ｌ	
）	
か	
サ	
ー	
ビ	
ス	
判	
２	
撮	
影	
者	
の	
住	
所	
、	
氏	
名	
、	
年	
齢	
、	
職	
業	
、	
電	
話	
番	
号	
、	
撮	
影	
場	
所	
、	
作	
品	
の	
タ	
イ	
ト	
ル	
と	
簡	EVENT class="NULL" eid="e35"
単	
な	
説	
明	
を	
添	
付	
３	
返	
却	
希	
望	
の	
有	
無	
を	
明	
記	
４	
掲	
載	
作	
品	
に	
は	
記	
念	
品	
、	
優	
秀	
作	
品	
に	
は	
旬	
間	
賞	
を	
贈	EVENT class="OCCURRENCE" eid="e36"
り	
ま	
す	
。	
【	
送	
り	
先	
】	
〒	
５	
３	
０	
‐	
８	
２	
７	
５	
産	
経	
新	
聞	
大	
阪	
本	
社	
写	
真	
報	
道	
局	
ふ	
ぉ	
と	
ぷ	
ら	
ざ	
係	
（	
☎	
０	
６	
・	
６	
３	
４	
１	
・	
５	
２	
６	
６	
）	
へ	
。	
大	
阪	
国	
際	
会	
議	
場	
来	
場	
者	
１	
０	
０	
万	
人	
を	
突	
破	
稼	
働	
率	
７	
割	
初	TIMEX3 definite="FALSE" value="FY2000" type="DATE" valueFromSurface="FYXXXX"
年	
度	
黒	
字	
も	
確	EVENT class="NULL" eid="e37"
実	
　	
昨	TIMEX3 definite="FALSE" value="2000-04" type="DATE" tid="t3" valueFromSurface="XXXX-04"
年	
四	
月	
に	
オ	EVENT class="OCCURRENCE" eid="e38"
ー	
プ	
ン	
し	
た	
大	
阪	
市	
北	
区	
の	
大	
阪	
国	
際	
会	
議	
場	
（	
グ	
ラ	
ン	
キ	
ュ	
ー	
ブ	
大	
阪	
）	
の	
来	
場	
者	
が	
二	TIMEX3 definite="FALSE" value="2001-05-20" type="DATE" tid="t4" valueFromSurface="XXXX-XX-20"
十	
日	
、	
百	
万	
人	
を	
突	EVENT class="OCCURRENCE" eid="e39"
破	
し	
た	
。	
開	
業	
一	TIMEX3 definite="FALSE" value="P1Y" type="DURATION" tid="t5" valueFromSurface="P1Y"
年	
間	
の	
稼	
働	
率	
は	
当	TIMEX3 type="DATE" value="PAST_REF" valueFromSurface="PAST_REF"
初	
目	
標	
を	
上	EVENT class="OCCURRENCE" eid="e40"
回	
り	
、	
初	TIMEX3 definite="FALSE" value="FY2000" type="DATE" tid="t6" valueFromSurface="FYXXXX"
年	
度	
決	
算	
も	
黒	EVENT class="NULL" eid="e41"
字	
確	
実	
で	
、	
山	
下	
和	
彦	
