■	
原	
発	
利	
用	
率	
が	
低	
下	
　	
電	
気	
事	
業	
連	
合	
会	
が	
１	TIMEX3 type="DATE" value="2002-11-15" tid="t1" definite="FALSE" valueFromSurface="XXXX-XX-15"
５	
日	
発	EVENT class="OCCURRENCE" eid="e1"
表	
し	
た	
１	TIMEX3 type="DATE" value="2002-10" tid="t2" definite="FALSE" valueFromSurface="XXXX-10"
０	
月	
の	
発	
受	
電	
速	
報	
に	
よ	
る	
と	
、	
全	
国	
で	
営	
業	
運	
転	
中	
の	
原	
子	
力	
発	
電	
所	
の	
設	
備	
利	
用	
率	
（	
日	
本	
原	
電	
を	
含	EVENT class="NULL" eid="e2"
む	
）	
は	
６	
６	
．	
１	
％	
と	
、	
前	TIMEX3 type="DATE" value="2001-10" tid="t3" definite="FALSE" valueFromSurface="XXXX-XX"
年	
同	
月	
を	
９	
．	
８	
ポ	
イ	
ン	
ト	
下	EVENT class="OCCURRENCE" eid="e3"
回	
っ	
た	
。	
前	TIMEX3 type="DATE" value="2001" tid="t4" definite="FALSE" valueFromSurface="XXXX"
年	
実	
績	
を	
割	EVENT class="OCCURRENCE" eid="e4"
り	
込	
ん	
だ	
の	
は	
２	TIMEX3 type="DURATION" value="P2M" tid="t5" definite="FALSE" valueFromSurface="P2M"
カ	
月	
連	
続	
と	
な	EVENT class="NULL" eid="e5"
る	
。	
ト	
ラ	
ブ	
ル	
隠	
し	
な	
ど	
で	
東	
京	
電	
力	
の	
原	
発	
が	
計	
９	
基	
停	
止	
、	
同	
社	
の	
利	
用	
率	
が	
５	
４	
．	
９	
％	
と	
８	
．	
１	
ポ	
イ	
ン	
ト	
低	EVENT class="OCCURRENCE" eid="e6"
下	
し	
た	
こ	
と	
が	
響	EVENT class="OCCURRENCE" eid="e7"
い	
た	
。	
浜	
岡	
原	
発	
の	
全	
４	
基	
が	
停	EVENT class="OCCURRENCE" eid="e8"
止	
し	
て	
い	
る	
中	
部	
電	
力	
の	
利	
用	
率	
は	
ゼ	
ロ	
だ	
っ	
た	
。	
　	
こ	
の	
結	
果	
、	
原	
発	
の	
発	
電	
電	
力	
量	
は	
１	
０	
．	
２	
％	
減	
の	
２	
１	
３	
億	
６	
０	
０	
０	
万	
キ	
ロ	
ワ	
ッ	
ト	
時	
を	
記	
録	
。	
反	
動	
で	
利	
用	
率	
が	
ア	EVENT class="OCCURRENCE" eid="e9"
ッ	
プ	
し	
た	
火	
力	
発	
電	
所	
の	
発	
電	
電	
力	
量	
は	
１	
１	
．	
４	
％	
増	
の	
３	
５	
４	
億	
６	
０	
０	
０	
万	
キ	
ロ	
ワ	
ッ	
ト	
時	
だ	
っ	
た	
。	
ソ	
フ	
ト	
バ	
ン	
ク	
連	
続	
赤	
字	
純	
損	
失	
５	
５	
８	
億	
円	
　	
設	
備	
投	
資	
負	
担	
響	EVENT class="OCCURRENCE" eid="e10"
く	
９	TIMEX3 type="DATE" value="2002-09" tid="t6" definite="FALSE" valueFromSurface="XXXX-09"
月	
中	
間	
連	
結	
決	
算	
　	
ソ	
フ	
ト	
バ	
ン	
ク	
が	
十	TIMEX3 type="DATE" value="2002-11-15" tid="t7" definite="FALSE" valueFromSurface="XXXX-XX-15"
五	
日	
発	EVENT class="OCCURRENCE" eid="e11"
表	
し	
た	
二	TIMEX3 type="DATE" value="2002-09" tid="t8" definite="FALSE" valueFromSurface="2002-09"
〇	
〇	
二	
年	
九	
月	
中	
間	
連	
結	
決	
算	
は	
本	
業	
の	
も	
う	
け	
を	
示	EVENT class="I_ACTION" eid="e12"
す	
営	
業	
損	
益	
が	
三	
百	
十	
一	
億	
円	
の	
赤	
字	
に	
、	
純	
損	
益	
も	
五	
百	
五	
十	
八	
億	
円	
の	
赤	
字	
と	
な	EVENT class="OCCURRENCE" eid="e13"
っ	
た	
。	
と	
も	
に	
中	
間	
期	
と	
し	
て	
は	
二	
期	
連	
続	
の	
赤	
字	
で	
、	
赤	
字	
額	
は	
過	TIMEX3 type="DATE" value="PAST_REF" valueFromSurface="PAST_REF"
去	
最	
大	
。	
過	TIMEX3 type="DATE" value="PAST_REF" tid="t9" definite="TRUE" valueFromSurface="PAST_REF"
去	
の	
利	
益	
の	
蓄	
積	
を	
示	EVENT class="I_ACTION" eid="e14"
す	
剰	
余	
金	
が	
払	EVENT class="OCCURRENCE" eid="e15"
底	
し	
、	
五	
百	
四	
十	
二	
億	
円	
の	
欠	
損	
が	
発	EVENT class="OCCURRENCE" eid="e16"
生	
し	
た	
。	
　	
昨	TIMEX3 type="DATE" value="2001-FA" tid="t10" definite="FALSE" valueFromSurface="XXXX-FA"
年	
秋	
に	
始	EVENT class="ASPECTUAL" eid="e17"
め	
た	
ブ	
ロ	
ー	
ド	
バ	
ン	
ド	
（	
高	
速	
大	
容	
量	
）	
通	
信	
事	
業	
の	
設	
備	
投	
資	
負	
担	
や	
会	
員	
獲	
得	
の	
た	
め	
の	
販	
売	
促	
進	
費	
が	
利	
益	
を	
圧	EVENT class="OCCURRENCE" eid="e18"
迫	
し	
た	
ほ	
か	
、	
株	
安	
で	
巨	EVENT class="NULL" eid="e19"
額	
の	
特	
別	
損	
失	
が	
発	EVENT class="OCCURRENCE" eid="e20"
生	
し	
た	
こ	
と	
も	
響	EVENT class="OCCURRENCE" eid="e21"
い	
た	
。	
　	
〇	TIMEX3 type="DATE" value="2003-03" tid="t11" definite="FALSE" valueFromSurface="XX03-03"
三	
年	
三	
月	
期	
も	
赤	
字	
