都	
市	
探	
究	
今	TIMEX3 type="DATE" definite="TRUE" tid="t1" valueFromSurface="XXXX-WXX" value="2004-WXX" comment="&quot;PRESENT_REF, 2004-05-27 week&quot;"
週	
の	
テ	
ー	
マ	
＝	
「	
音	
楽	
の	
街	
」	
３	
ア	
ジ	
ア	
で	
福	
岡	
発	
ヒ	
ッ	
ト	
を	
　	
「	
福	
岡	
」	
と	
「	
音	
楽	
」	
を	
キ	
ー	
ワ	
ー	
ド	
に	
イ	
ン	
タ	
ー	
ネ	
ッ	
ト	
で	
検	EVENT eid="e1" class="OCCURRENCE"
索	
し	
て	
い	
て	
、	
面	EVENT eid="e2" class="NULL"
白	
い	
ホ	
ー	
ム	
ペ	
ー	
ジ	
（	
Ｈ	
Ｐ	
）	
を	
見	EVENT eid="e3" class="OCCURRENCE"
つ	
け	
た	
。	
メ	
ー	
ン	
は	
福	
岡	
の	
音	
楽	
情	
報	
。	
だ	
が	
、	
そ	
の	
一	
方	
、	
若	
者	
で	
に	EVENT eid="e4" class="OCCURRENCE"
ぎ	
わ	
う	
福	
岡	
市	
の	
大	
名	
や	
親	
富	
孝	
通	
り	
の	
シ	
ョ	
ッ	
プ	
や	
ク	
ラ	
ブ	
が	
ハ	
ン	
グ	
ル	
で	
紹	EVENT eid="e5" class="OCCURRENCE"
介	
さ	
れ	
て	
い	
る	
。	
福	
岡	
→	
音	
楽	
→	
韓	
国	
…	
そ	
の	
つ	
な	
が	
り	
と	
は	
？	
　	
早	
速	
、	
Ｈ	
Ｐ	
を	
開	EVENT eid="e6" class="OCCURRENCE"
設	
し	
て	
い	
る	
「	
イ	
ン	
デ	
ィ	
ペ	
ン	
デ	
ン	
ト	
　	
フ	
ァ	
ク	
ト	
リ	
ー	
　	
フ	
ク	
オ	
カ	
」	
（	
中	
央	
区	
）	
へ	
。	
現	
場	
責	
任	
者	
の	
大	
木	
聡	
美	
（	
三	TIMEX3 type="DURATION" definite="FALSE" tid="t2" valueFromSurface="P32Y" value="P32Y"
二	
）	
は	
「	
予	
想	
以	
上	
に	
、	
韓	
国	
の	
若	
者	
の	
目	
は	
福	
岡	
に	
向	EVENT eid="e7" class="OCCURRENCE"
い	
て	
い	
る	
」	
と	
語	EVENT eid="e8" class="REPORTING"
る	
。	
福	
岡	
の	
音	
楽	
を	
紹	EVENT eid="e9" class="OCCURRENCE"
介	
す	
る	
た	
め	
に	
Ｈ	
Ｐ	
を	
開	EVENT eid="e10" class="OCCURRENCE"
い	
た	
が	
、	
フ	
ァ	
ッ	
シ	
ョ	
ン	
情	
報	
な	
ど	
へ	
の	
反	
響	
が	
大	EVENT eid="e11" class="NULL"
き	
く	
、	
文	
化	
全	
般	
を	
紹	EVENT eid="e12" class="OCCURRENCE"
介	
す	
る	
動	
画	
を	
増	EVENT eid="e13" class="OCCURRENCE"
や	
し	
た	
と	
い	EVENT eid="e14" class="REPORTING"
う	
。	
　	
「	
音	
楽	
を	
聴	EVENT eid="e15" class="OCCURRENCE"
い	
て	
も	
ら	
う	
の	
が	
一	
番	
。	
で	
も	
、	
文	
化	
を	
通	
じ	
て	
交	
流	
を	
深	EVENT eid="e16" class="I_ACTION"
め	
る	
こ	
と	
が	
入	
り	
口	
に	
