情	
報	
ラ	
ン	
ド	
●	
劇	
団	
Ｍ	
．	
Ｏ	
．	
Ｐ	
．	
　	
「	
水	
平	
線	
ホ	
テ	
ル	
」	
　	
２	TIMEX3 value="2005-07-22" definite="FALSE" tid="t1" type="DATE" valueFromSurface="XXXX-XX-22"
２	
〜	
２	TIMEX3 value="2005-07-28" definite="FALSE" tid="t2" type="DATE" valueFromSurface="XXXX-XX-28"
８	
日	
、	
東	
京	
・	
新	
宿	
の	
紀	
伊	
国	
屋	
サ	
ザ	
ン	
シ	
ア	
タ	
ー	
。	
マ	
キ	
ノ	
ノ	
ゾ	
ミ	
作	
・	
演	
出	
に	
よ	
る	
劇	
団	
と	
し	
て	
は	
４	TIMEX3 value="P4Y" definite="FALSE" tid="t3" type="DURATION" valueFromSurface="P4Y"
年	
ぶ	
り	
の	
新	
作	
。	
キ	
ム	
ラ	
緑	
子	
、	
三	
上	
市	
朗	
、	
小	
市	
慢	
太	
郎	
ら	
が	
出	
演	
。	
４	
５	
０	
０	
円	
。	
☎	
０	
３	
・	
３	
３	
８	
０	
・	
３	
１	
４	
０	
（	
劇	
団	
）	
●	
プ	
ロ	
ム	
ジ	
カ	
女	
声	
合	
唱	
団	
　	
２	TIMEX3 value="2005-07-23T17:30" definite="FALSE" tid="t4" type="TIME" valueFromSurface="XXXX-XX-23T17:30"
３	
日	
午	
後	
５	
時	
半	
、	
東	
京	
都	
立	
川	
市	
の	
都	
多	
摩	
教	
育	
セ	
ン	
タ	
ー	
大	
ホ	
ー	
ル	
、	
２	TIMEX3 value="2005-07-25T19" definite="FALSE" tid="t5" type="TIME" valueFromSurface="XXXX-XX-25T19"
５	
日	
午	
後	
７	
時	
、	
東	
京	
・	
初	
台	
の	
オ	
ペ	
ラ	
シ	
テ	
ィ	
コ	
ン	
サ	
ー	
ト	
ホ	
ー	
ル	
。	
ハ	
ン	
ガ	
リ	
ー	
の	
少	
年	
少	
女	
合	
唱	
団	
カ	
ン	
テ	
ム	
ス	
を	
卒	EVENT eid="e1" class="OCCURRENCE"
業	
し	
た	
１	TIMEX3 value="P16Y" definite="FALSE" tid="t6" type="DURATION" valueFromSurface="P16Y"
６	
〜	
２	TIMEX3 value="P21Y" definite="FALSE" tid="t7" type="DURATION" valueFromSurface="P21Y"
１	
歳	
の	
女	
性	
が	
自	
国	
の	
コ	
ダ	
ー	
イ	
、	
コ	
チ	
ャ	
ー	
ル	
、	
バ	
ー	
ル	
ド	
シ	
ュ	
な	
ど	
を	
精	EVENT eid="e2" class="NULL"
妙	
な	
歌	
声	
で	
歌	EVENT eid="e3" class="OCCURRENCE"
う	
。	
２	TIMEX3 value="2005-07-23" definite="FALSE" tid="t8" type="DATE" valueFromSurface="XXXX-XX-23"
３	
日	
は	
☎	
０	
４	
４	
・	
８	
２	
２	
・	
７	
７	
６	
８	
（	
若	
杉	
）	
、	
２	TIMEX3 value="2005-07-25" definite="FALSE" tid="t9" type="DATE" valueFromSurface="XXXX-XX-25"
５	
日	
は	
☎	
０	
３	
・	
５	
２	
８	
０	
・	
９	
９	
９	
６	
（	
カ	
ン	
バ	
セ	
ー	
シ	
ョ	
ン	
）	
●	
さ	
よ	
な	
ら	
ガ	
ス	
ホ	
ー	
ル	
落	
語	
会	
　	
３	TIMEX3 value="2005-07-30T14" definite="FALSE" tid="t10" type="TIME" valueFromSurface="XXXX-XX-30T14"
０	
日	
午	
後	
２	
時	
、	
東	
京	
・	
銀	
座	
の	
銀	
座	
ガ	
ス	
ホ	
ー	
ル	
。	
