せ	
き	
ら	
ら	
白	
書	
（	
朝	
日	
＝	
後	TIMEX3 tid="t1" value="2001-07-11T20:00" definite="FALSE" valueFromSurface="XXXX-XX-XXT20:00" type="TIME"
８	
・	
０	
）	
　	
美	
容	
整	
形	
に	
ス	
ポ	
ッ	
ト	
を	
当	EVENT class="OCCURRENCE" eid="e1"
て	
、	
ど	
れ	
く	
ら	
い	
の	
人	
が	
美	EVENT class="OCCURRENCE" eid="e2"
容	
整	
形	
し	
て	
い	
る	
の	
か	
調	EVENT class="I_ACTION" eid="e3"
査	
す	
る	
。	
整	
形	
に	
１	
０	
０	
０	
万	
円	
も	
か	EVENT class="OCCURRENCE" eid="e4"
け	
た	
話	
や	
、	
最	TIMEX3 type="DATE" value="PAST_REF" valueFromSurface="PAST_REF"
近	
の	
美	
容	
整	
形	
の	
値	
段	
な	
ど	
も	
調	EVENT class="OCCURRENCE" eid="e5"
べ	
る	
。	
フ	
ァ	
イ	
テ	
ィ	
ン	
グ	
ガ	
ー	
ル	
（	
フ	
ジ	
＝	
後	TIMEX3 tid="t2" value="2001-07-11T21:00" definite="FALSE" valueFromSurface="XXXX-XX-XXT21:00" type="TIME"
９	
・	
０	
）	
　	
亜	
美	
（	
ユ	
ン	
・	
ソ	
ナ	
）	
が	
冬	
実	
（	
平	
山	
綾	
）	
に	
会	EVENT class="OCCURRENCE" eid="e6"
い	
に	
来	EVENT class="I_ACTION" eid="e7"
た	
た	
め	
、	
小	
夜	
子	
（	
深	
田	
恭	
子	
）	
と	
祐	
三	
（	
萩	
原	
健	
一	
）	
も	
交	EVENT class="OCCURRENCE" eid="e8"
え	
て	
夕	
食	
を	
共	
に	
取	EVENT class="I_ACTION" eid="e9"
る	
。	
小	
夜	
子	
が	
電	
車	
の	
中	
で	
化	
粧	
を	
し	EVENT class="I_ACTION" eid="e10"
た	
り	
着	
替	
え	
を	
し	EVENT class="I_ACTION" eid="e11"
、	
自	
分	
が	
注	
意	
を	
し	EVENT class="I_ACTION" eid="e12"
た	
ら	
逃	EVENT class="OCCURRENCE" eid="e13"
げ	
出	
し	
た	
こ	
と	
な	
ど	
を	
亜	
美	
は	
祐	
三	
に	
告	EVENT class="REPORTING" eid="e14"
げ	
る	
。	
視	
聴	
室	
お	
じ	
さ	
ん	
に	
も	
美	EVENT class="NULL" eid="e15"
し	
い	
人	
生	
を	
ビ	
ュ	
ー	
テ	
ィ	
７	
（	
日	
本	
＝	
後	TIMEX3 tid="t3" value="2001-07-11T22:00" definite="FALSE" valueFromSurface="XXXX-XX-XXT22:00" type="TIME"
１	
０	
・	
０	
）	
　	
「	
見	EVENT class="OCCURRENCE" eid="e16"
て	
よ	
、	
あ	
の	
肌	
。	
乾	EVENT class="OCCURRENCE" eid="e17"
燥	
し	
切	
っ	
た	
砂	
漠	
よ	
、	
砂	
漠	
。	
一	TIMEX3 tid="t4" value="P1Y" definite="FALSE" valueFromSurface="P1Y" type="DURATION"
年	
水	
を	
あ	EVENT class="OCCURRENCE" eid="e18"
げ	
た	
っ	
て	
草	
も	
生	EVENT class="OCCURRENCE" eid="e19"
え	
や	
し	EVENT class="NULL" eid="e20"
な	
い	
」	
「	
ブ	
ス	
と	
フ	
ケ	
は	
う	EVENT class="OCCURRENCE" eid="e21"
つ	
る	
の	
よ	
」	
。	
何	
と	
も	
過	EVENT class="NULL" eid="e22"
激	
？	
な	
セ	
リ	
フ	
。	
５	TIMEX3 tid="t5" value="P50Y" definite="FALSE" valueFromSurface="P50Y" type="DURATION"
０	
歳	
を	
過	EVENT class="OCCURRENCE" eid="e23"
ぎ	
て	
な	
ぜ	
か	
エ	
ス	
テ	
サ	
ロ	
ン	
に	
来	EVENT class="OCCURRENCE" eid="e24"
た	
初	
恵	
（	
り	
り	
ィ	
）	
が	
、	
美	EVENT class="NULL" eid="e25"
し	
く	
な	EVENT class="OCCURRENCE" eid="e26"
り	
た	
い	
と	
い	
う	
意	
思	
が	
な	EVENT class="NULL" eid="e27"
い	
の	
に	
、	
ト	
ッ	
プ	
ア	
テ	
ン	
ダ	
ン	
ト	
の	
サ	
ク	
ラ	
（	
神	
田	
う	
の	
）	
が	
切	EVENT class="OCCURRENCE" eid="e28"
れ	
て	
、	
こ	
の	
セ	
リ	
フ	
に	
続	EVENT class="ASPECTUAL" eid="e29"
い	
て	
「	
女	
は	
フ	
ェ	
ロ	
モ	
ン	
で	
生	EVENT class="OCCURRENCE" eid="e30"
き	
て	
ん	
の	
。	
そ	
れ	
を	
捨	EVENT class="OCCURRENCE" eid="e31"
て	
る	
な	
ら	
尼	
寺	
へ	
で	
も	
行	EVENT class="OCCURRENCE" eid="e32"
け	
ば	
」	
と	
。	
　	
傾	EVENT class="OCCURRENCE" eid="e33"
い	
た	
エ	
ス	
テ	
再	
建	
に	
送	EVENT class="I_ACTION" eid="e34"
り	
込	
ま	
れ	
た	
翔	
子	
（	
桃	
井	
か	
お	
り	
）	
と	
７	
人	
の	
ビ	
ュ	
ー	
テ	
ィ	
ー	
ア	
テ	
ン	
ダ	
ン	
ト	
が	
反	
目	
の	
末	
、	
美	
と	
い	
う	
究	
極	
の	
目	
標	
に	
一	EVENT class="I_ACTION" eid="e35"
致	
団	
結	
す	
る	
物	
語	
。	
毎	
回	
美	
容	
の	
ノ	
ウ	
ハ	
ウ	
が	
紹	EVENT class="OCCURRENCE" eid="e36"
介	
さ	
れ	
、	
一	
見	
、	
若	EVENT class="NULL" eid="e37"
い	
女	
性	
向	
け	
ド	
ラ	
マ	
の	
よ	
う	
だ	
が	
、	
外	
見	
の	
美	
を	
追	EVENT class="OCCURRENCE" eid="e38"
求	
す	
る	
う	
ち	
に	
、	
心	
の	
美	
し	
さ	
に	
目	EVENT class="OCCURRENCE" eid="e39"
覚	
め	
、	
自	
信	
の	
あ	EVENT class="STATE" eid="e40"
る	
生	
き	
方	
を	
求	EVENT class="OCCURRENCE" eid="e41"
め	
て	
い	
く	
、	
と	
い	
う	
意	EVENT class="NULL" eid="e42"
外	
と	
ま	EVENT class="NULL" eid="e43"
じ	
め	
な	
内	
容	
。	
メ	
リ	
ハ	
リ	
の	
利	EVENT class="OCCURRENCE" eid="e44"
い	
た	
演	
出	
は	
、	
バ	
ラ	
エ	
テ	
ィ	
ー	
番	
組	
を	
担	EVENT class="OCCURRENCE" eid="e45"
当	
し	
て	
き	
た	
小	
川	
通	
仁	
デ	
ィ	
レ	
ク	
タ	
ー	
。	
（	
網	
）	
未	
婚	
の	
母	
役	
の	
神	
田	
う	
の	
５	
女	
優	
・	
熱	
気	
の	
競	
演	
が	
見	
も	
の	
マ	
リ	
ア	
（	
Ｔ	
Ｂ	
Ｓ	
＝	
後	TIMEX3 tid="t6" value="2001-07-11T22:00" definite="FALSE" valueFromSurface="XXXX-XX-XXT22:00" type="TIME"
１	
０	
・	
０	
）	
　	
東	
京	
・	
新	
宿	
で	
診	
療	
所	
を	
開	EVENT class="OCCURRENCE" eid="e46"
く	
女	
医	
・	
坂	
本	
宇	
宙	
（	
そ	
ら	
）	
＝	
浅	
野	
温	
子	
＝	
を	
主	
人	
公	
に	
、	
医	
療	
に	
か	EVENT class="OCCURRENCE" eid="e47"
か	
わ	
る	
姉	
妹	
と	
患	
者	
た	
ち	
の	
人	
間	
ド	
ラ	
マ	
を	
描	EVENT class="OCCURRENCE" eid="e48"
く	
。	
長	
姉	
の	
岸	
恵	
子	
か	
ら	
、	
腹	
違	
い	
の	
妹	
役	
の	
「	
モ	
ー	
ニ	
ン	
グ	
娘	
。	
」	
後	
藤	
真	
希	
ま	
で	
。	
５	
人	
の	
女	
優	
が	
時	
に	
ぶ	EVENT class="OCCURRENCE" eid="e49"
つ	
か	
り	
、	
時	
に	
い	EVENT class="OCCURRENCE" eid="e50"
た	
わ	
り	
合	
う	
、	
そ	
の	
競	
演	
ぶ	
り	
が	
見	
も	
の	
だ	
。	
　	
診	
療	
所	
は	
古	EVENT class="NULL" eid="e51"
く	
て	
赤	
字	
経	
営	
だ	
。	
次	
姉	
の	
病	
院	
長	
夫	
人	
（	
岡	
江	
久	
美	
子	
）	
は	
売	
却	
を	
勧	EVENT class="I_ACTION" eid="e52"
め	
る	
が	
、	
宇	
宙	
は	
応	EVENT class="I_ACTION" eid="e53"
じ	
な	
い	
。	
診	
療	
所	
存	
続	
を	
め	
ぐ	
る	
話	
題	
が	
一	
本	
の	
柱	
だ	
。	
毎	
回	
、	
宇	
宙	
が	
診	EVENT class="OCCURRENCE" eid="e54"
察	
す	
る	
患	
者	
そ	
れ	
ぞ	
れ	
の	
人	
生	
が	
描	EVENT class="OCCURRENCE" eid="e55"
か	
れ	
る	
の	
も	
、	
ド	
ラ	
マ	
に	
広	
が	
り	
を	
与	EVENT class="OCCURRENCE" eid="e56"
え	
る	
。	
第	
２	
話	
で	
は	
、	
大	
会	
直	
前	
に	
腹	
部	
に	
異	
常	
が	
見	EVENT class="I_ACTION" eid="e57"
つ	
か	
っ	
た	
女	
子	
校	
水	
泳	
部	
選	
手	
（	
栗	
山	
千	
明	
）	
の	
話	
。	
　	
突	
然	
現	EVENT class="OCCURRENCE" eid="e58"
れ	
た	
姉	
妹	
の	
末	
の	
妹	
陽	
世	
（	
ひ	
よ	
）	
＝	
後	
藤	
＝	
は	
姉	
妹	
と	
仲	
良	
く	
な	EVENT class="OCCURRENCE" eid="e59"
れ	
る	
の	
か	
、	
病	
気	
は	
？	
が	
も	
う	
一	
つ	
の	
柱	
。	
盛	EVENT class="NULL" eid="e60"
り	
だ	
く	
さ	
ん	
な	
内	
容	
だ	
が	
、	
各	
話	
熱	
気	
が	
こ	EVENT class="OCCURRENCE" eid="e61"
も	
っ	
て	
い	
て	
、	
見	
応	
え	
が	
