水	
平	
　	
垂	
直	
東	
証	
株	
価	
急	
騰	
底	
入	
れ	
か	
一	EVENT eid="e1" class="NULL"
時	
的	
か	
本	
格	
的	
株	
高	
へ	
対	
策	
催	
促	
も	
　	
東	
京	
株	
式	
市	
場	
の	
株	
価	
が	
四	TIMEX3 type="DATE" value="2002-03-04" valueFromSurface="XXXX-XX-04" tid="t1" definite="FALSE"
日	
、	
大	EVENT eid="e2" class="NULL"
幅	
に	
続	EVENT eid="e3" class="OCCURRENCE"
伸	
し	
た	
。	
政	
府	
が	
打	EVENT eid="e4" class="I_ACTION"
ち	
出	
し	
た	
株	
の	
空	
売	
り	
規	
制	
強	
化	
を	
下	
支	
え	
に	
、	
こ	
れ	
ま	
で	
の	
停	
滞	
感	
を	
一	
気	
に	
吹	EVENT eid="e5" class="OCCURRENCE"
き	
飛	
ば	
し	
た	
格	
好	
だ	
。	
市	
場	
で	
は	
「	
こ	
れ	
で	
『	
金	
融	
の	
三	TIMEX3 type="DATE" value="XXXX-03" valueFromSurface="XXXX-03" tid="t2" definite="TRUE"
月	
危	
機	
』	
が	
起	EVENT eid="e6" class="I_ACTION"
こ	
る	
懸	
念	
も	
薄	EVENT eid="e7" class="I_ACTION"
れ	
た	
」	
と	
ホ	
ッ	
と	
一	
息	
つ	EVENT eid="e8" class="I_ACTION"
く	
一	
方	
、	
「	
不	
良	
債	
権	
の	
抜	EVENT eid="e9" class="NULL"
本	
的	
な	
処	
理	
が	
進	EVENT eid="e10" class="I_ACTION"
ま	
な	
い	
限	
り	
、	
本	EVENT eid="e11" class="NULL"
格	
的	
な	
株	
高	
に	
は	
つ	EVENT eid="e12" class="OCCURRENCE"
な	
が	
ら	
な	
い	
」	
と	
、	
政	
府	
の	
次	
な	
る	
対	
策	
を	
催	EVENT eid="e13" class="I_ACTION"
促	
す	
る	
声	
も	
あ	EVENT eid="e14" class="STATE"
る	
。	
期	
待	
と	
不	
安	
が	
交	EVENT eid="e15" class="I_ACTION"
