英	
語	
で	
ド	
ッ	
ポ	
「	
が	EVENT class="NULL" eid="e1"
ま	
ん	
す	
る	
」	
は	
ｐ	
ｕ	
ｔ	
　	
ｕ	
ｐ	
　	
ｗ	
ｉ	
ｔ	
ｈ	
〜	
　	
「	
が	EVENT class="NULL" eid="e2"
ま	
ん	
す	
る	
」	
は	
「	
ｐ	
ｕ	
ｔ	
　	
ｕ	
ｐ	
　	
ｗ	
ｉ	
ｔ	
ｈ	
〜	
」	
で	
、	
「	
寒	
さ	
を	
が	EVENT class="NULL" eid="e3"
ま	
ん	
す	
る	
」	
な	
ら	
ｐ	
ｕ	
ｔ	
　	
ｕ	
ｐ	
　	
ｗ	
ｉ	
ｔ	
ｈ	
　	
ｔ	
ｈ	
ｅ	
　	
ｃ	
ｏ	
ｌ	
ｄ	
。	
「	
単	
に	
ガ	EVENT class="NULL" eid="e4"
マ	
ン	
し	
て	
る	
ん	
だ	
っ	
て	
ば	
！	
」	
は	
Ｉ	
　	
ａ	
ｍ	
　	
ｊ	
ｕ	
ｓ	
ｔ	
　	
ｐ	
ｕ	
ｔ	
ｔ	
ｉ	
ｎ	
ｇ	
　	
ｕ	
ｐ	
　	
ｗ	
ｉ	
ｔ	
ｈ	
　	
ｉ	
ｔ	
！	
と	
言	EVENT class="NULL" eid="e5"
え	
ば	
い	
い	
。	
　	
「	
が	EVENT class="NULL" eid="e6"
ま	
ん	
す	
る	
」	
は	
ｅ	
ｎ	
ｄ	
ｕ	
ｒ	
ｅ	
（	
エ	
ン	
デ	
ュ	
ア	
）	
、	
ｓ	
ｔ	
ａ	
ｎ	
ｄ	
な	
ど	
も	
よ	
く	
使	EVENT class="NULL" eid="e7"
う	
。	
た	
だ	
、	
日	
常	
会	
話	
で	
は	
ｐ	
ｕ	
ｔ	
　	
ｕ	
ｐ	
　	
ｗ	
ｉ	
ｔ	
ｈ	
が	
最	
も	
よ	
く	
使	EVENT class="NULL" eid="e8"
わ	
れ	
る	
そ	
う	
だ	
。	
　	
エ	
ミ	
ヤ	
の	
よ	
う	
に	
無	EVENT class="NULL" eid="e9"
理	
し	
て	
平	
常	
を	
装	EVENT class="NULL" eid="e10"
う	
「	
や	
せ	
が	
ま	
ん	
」	
も	
、	
こ	
れ	
ら	
の	
単	
語	
で	
意	
味	
が	
通	EVENT class="OCCURRENCE" eid="e11"
じ	
る	
よ	
。	
ニ	
ュ	
ー	
ス	
の	
数	
字	
計	EVENT class="OCCURRENCE" eid="e12"
算	
し	
て	
み	
よ	
う	
Ｖ	
４	
強	
さ	
の	
ワ	
ケ	
　	
１	TIMEX3 value="2005-01-02" definite="FALSE" valueFromSurface="XXXX-01-02" tid="t1" type="DATE"
月	
２	
、	
３	TIMEX3 value="2005-01-03" definite="FALSE" valueFromSurface="XXXX-XX-03" tid="t2" type="DATE"
