特	
集	
ワ	
イ	
ド	
日	
本	
経	
済	
を	
ど	
う	
立	EVENT eid="e1" class="OCCURRENCE"
て	
直	
す	
か	
自	
民	
党	
の	
「	
政	
策	
新	
人	
類	
」	
渡	
辺	
喜	
美	
衆	
院	
議	
員	
は	
提	EVENT eid="e2" class="I_ACTION"
案	
す	
る	
「	
経	
済	
非	
常	
事	
態	
」	
を	
宣	EVENT eid="e3" class="I_ACTION"
言	
し	
産	
業	
再	
生	
委	
の	
創	
設	
を	
！	
　	
参	
院	
選	
で	
の	
自	
民	
党	
圧	
勝	
を	
受	EVENT eid="e4" class="I_ACTION"
け	
て	
、	
「	
小	
泉	
改	
革	
」	
が	
動	EVENT eid="e5" class="OCCURRENCE"
き	
出	
す	
。	
「	
聖	
域	
な	EVENT eid="e6" class="NULL"
き	
構	
造	
改	
革	
」	
を	
掲	EVENT eid="e7" class="I_ACTION"
げ	
る	
小	
泉	
純	
一	
郎	
首	
相	
だ	
が	
、	
最	
重	
要	
課	
題	
で	
あ	
る	
金	
融	
政	
策	
に	
つ	
い	
て	
は	
経	
済	
閣	
僚	
に	
丸	EVENT eid="e8" class="OCCURRENCE"
投	
げ	
し	
た	
ま	
ま	
で	
、	
明	EVENT eid="e9" class="NULL"
確	
な	
リ	
ー	
ダ	
ー	
シ	
ッ	
プ	
を	
発	EVENT eid="e10" class="OCCURRENCE"
揮	
し	
て	
は	
い	EVENT eid="e11" class="STATE"
な	
い	
。	
沈	
没	
寸	
前	
の	
日	
本	
経	
済	
を	
ど	
う	
立	EVENT eid="e12" class="OCCURRENCE"
て	
直	
す	
か	
。	
“	
政	
策	
新	
人	
類	
”	
と	
呼	EVENT eid="e13" class="I_ACTION"
ば	
れ	
る	
自	
民	
党	
の	
渡	
辺	
喜	
美	
衆	
院	
議	
員	
（	
４	TIMEX3 definite="FALSE" valueFromSurface="P49Y" tid="t1" type="DURATION" value="P49Y"
９	
）	
は	
、	
金	
融	
と	
産	
業	
を	
同	
時	
に	
再	EVENT eid="e14" class="OCCURRENCE"
生	
す	
る	
た	
め	
の	
「	
産	
業	
再	
生	
委	
員	
会	
」	
創	
設	
の	
重	
要	
性	
を	
説	EVENT eid="e15" class="OCCURRENCE"
く	
。	
【	
広	
瀬	
金	
四	
郎	
】	
―	
　	
経	
済	
指	
標	
悪	
化	
で	
「	
９	TIMEX3 definite="TRUE" valueFromSurface="XXXX-09" tid="t2" type="DATE" value="XXXX-09"
月	
危	
機	
」	
が	
さ	EVENT eid="e16" class="OCCURRENCE"
さ	
や	
か	
れ	
て	
い	
る	
。	
◆	
　	
今	TIMEX3 definite="TRUE" valueFromSurface="PRESENT_REF" tid="t3" type="DATE" value="PRESENT_REF"
の	
日	
本	
経	
済	
を	
病	
気	
の	
が	
ん	
に	
例	EVENT eid="e17" class="OCCURRENCE"
え	
る	
と	
、	
「	
ス	
テ	
ー	
ジ	
２	
」	
あ	
た	
り	
に	
あ	EVENT eid="e18" class="STATE"
る	
。	
外	
科	
手	
術	
で	
緊	EVENT eid="e19" class="NULL"
急	
に	
除	EVENT eid="e20" class="OCCURRENCE"
去	
し	
