Ａ	
ｒ	
ｔ	
ｉ	
ｓ	
ｔ	
　	
Ｎ	
ｏ	
ｗ	
宮	
島	
達	
男	
さ	
ん	
１	
か	
ら	
９	
…	
そ	
の	
数	
字	
は	
終	EVENT eid="e1" class="OCCURRENCE"
わ	
ら	
な	
い	
　	
青	EVENT eid="e2" class="NULL"
い	
空	
間	
に	
点	EVENT eid="e3" class="OCCURRENCE"
滅	
す	
る	
数	
字	
、	
そ	
れ	
は	
永	
遠	
に	
続	EVENT eid="e4" class="ASPECTUAL"
く	
変	
化	
。	
音	
は	
な	EVENT eid="e5" class="STATE"
い	
。	
内	
外	
で	
高	EVENT eid="e6" class="NULL"
い	
評	
価	
を	
受	EVENT eid="e7" class="I_ACTION"
け	
て	
い	
る	
現	
代	
美	
術	
家	
、	
宮	
島	
達	
男	
さ	
ん	
の	
数	
字	
は	
何	
を	
語	EVENT eid="e8" class="OCCURRENCE"
り	
か	
け	
て	
い	
る	
の	
だ	
ろ	
う	
。	
そ	
の	
発	
想	
は	
い	TIMEX3 type="DATE" value="PRESENT_REF" valueFromSurface="PRESENT_REF"
ま	
、	
終	
末	
期	
医	
療	
の	
場	
で	
も	
注	EVENT eid="e9" class="I_ACTION"
目	
さ	
れ	
て	
い	
る	
と	
い	EVENT eid="e10" class="REPORTING"
う	
。	
（	
聞	
き	
手	
　	
早	
瀬	
廣	
美	
）	
住	
民	
共	
作	
　	
間	
も	
な	EVENT eid="e11" class="NULL"
く	
大	
阪	
府	
和	
泉	
市	
の	
プ	
ロ	
ジ	
ェ	
ク	
ト	
が	
ス	EVENT eid="e12" class="I_ACTION"
タ	
ー	
ト	
し	
ま	
す	
。	
泉	
北	
高	
速	
和	
泉	
中	
央	
駅	
前	
に	
建	
設	
中	
の	
「	
和	
泉	
市	
総	
合	
セ	
ン	
タ	
ー	
」	
に	
、	
発	
光	
ダ	
イ	
オ	
ー	
ド	
の	
デ	
ジ	
タ	
ル	
カ	
ウ	
ン	
タ	
ー	
を	
使	EVENT eid="e13" class="OCCURRENCE"
っ	
て	
、	
数	
字	
を	
点	EVENT eid="e14" class="OCCURRENCE"
滅	
さ	
せ	
る	
大	
作	
を	
設	EVENT eid="e15" class="OCCURRENCE"
置	
す	
る	
計	
画	
で	
す	
。	
　	
セ	
ン	
タ	
ー	
は	
図	
書	
館	
や	
生	
涯	
学	
習	
セ	
ン	
タ	
ー	
な	
ど	
が	
入	EVENT eid="e16" class="OCCURRENCE"
る	
施	
設	
で	
、	
建	
物	
の	
中	
央	
に	
竹	
林	
庭	
園	
が	
設	EVENT eid="e17" class="OCCURRENCE"
け	
ら	
れ	
、	
そ	
の	
地	
面	
に	
そ	
れ	
ぞ	
れ	
の	
時	
を	
刻	EVENT eid="e18" class="OCCURRENCE"
む	
百	
二	
十	
個	
の	
カ	
ウ	
ン	
タ	
ー	
を	
配	EVENT eid="e19" class="OCCURRENCE"
置	
す	
る	
ん	
で	
す	
。	
　	
地	
域	
住	
民	
の	
協	
力	
を	
得	EVENT eid="e20" class="OCCURRENCE"
て	
完	EVENT eid="e21" class="OCCURRENCE"
成	
さ	
せ	
る	
予	
定	
で	
す	
。	
住	
民	
の	
方	
々	
に	
カ	
ウ	
ン	
タ	
ー	
を	
一	
個	
ず	
つ	
渡	EVENT eid="e22" class="OCCURRENCE"
し	
て	
、	
数	
字	
を	
刻	EVENT eid="e23" class="OCCURRENCE"
む	
速	
さ	
を	
設	EVENT eid="e24" class="OCCURRENCE"
定	
し	
て	
も	
ら	
い	
、	
作	
品	
に	
流	EVENT eid="e25" class="OCCURRENCE"
れ	
る	
時	
間	
を	
考	EVENT eid="e26" class="OCCURRENCE"
え	
て	
い	
た	
だ	
く	
。	
住	
民	
と	
僕	
が	
創	
作	
を	
共	EVENT eid="e27" class="I_ACTION"
有	
し	
た	
い	
と	
考	EVENT eid="e28" class="I_STATE"
え	
る	
か	
ら	
で	
す	
。	
世	
界	
共	
通	
　	
市	
民	
と	
と	
も	
に	
創	EVENT eid="e29" class="OCCURRENCE"
作	
