師	
走	
学	
＆	
年	
越	
し	
術	
ど	
う	
過	EVENT eid="e1" class="I_ACTION"
ご	
す	
？	
１	
人	
の	
お	TIMEX3 valueFromSurface="XXXX-01" tid="t1" definite="FALSE" type="DATE" value="2004-01"
正	
月	
　	
帰	EVENT eid="e2" class="OCCURRENCE"
省	
せ	
ず	
１	
人	
で	
新	TIMEX3 type="DATE" value="XXXX" valueFromSurface="XXXX" mod="START"
年	
を	
迎	EVENT eid="e3" class="OCCURRENCE"
え	
る	
人	
も	
い	EVENT eid="e4" class="STATE"
る	
。	
「	
寂	EVENT eid="e5" class="NULL"
し	
い	
お	TIMEX3 valueFromSurface="XXXX-01" tid="t2" definite="FALSE" type="DATE" value="2004-01"
正	
月	
」	
と	
思	EVENT eid="e6" class="I_STATE"
う	
の	
も	
、	
「	
得	EVENT eid="e7" class="NULL"
難	
い	
チ	
ャ	
ン	
ス	
」	
と	
思	EVENT eid="e8" class="I_STATE"
う	
の	
も	
、	
あ	
な	
た	
次	
第	
。	
前	EVENT eid="e9" class="NULL"
向	
き	
な	
気	
持	
ち	
で	
１	
人	
の	
お	TIMEX3 valueFromSurface="XXXX-01" tid="t3" definite="FALSE" type="DATE" value="2004-01"
正	
月	
を	
楽	EVENT eid="e10" class="OCCURRENCE"
し	
め	
ば	
、	
き	
っ	
と	
運	
も	
向	EVENT eid="e11" class="OCCURRENCE"
い	
て	
く	
る	
の	
で	
は	
？	
　	
楽	EVENT eid="e12" class="NULL"
し	
い	
プ	
ラ	
ン	
の	
あ	
れ	
こ	
れ	
を	
提	EVENT eid="e13" class="OCCURRENCE"
案	
し	
た	
い	
。	
【	
松	
村	
由	
利	
子	
】	
改	EVENT eid="e14" class="NULL"
ま	
っ	
た	
気	
分	
大	EVENT eid="e15" class="NULL"
切	
に	
し	EVENT eid="e16" class="OCCURRENCE"
た	
い	
岸	
本	
葉	
子	
さ	
ん	
◇	
掃	
除	
、	
断	
食	
…	
　	
「	
わ	
た	
し	
の	
ひ	
と	
り	
暮	
ら	
し	
手	
帖	
」	
な	
ど	
の	
著	
書	
が	
あ	EVENT eid="e17" class="STATE"
る	
エ	
ッ	
セ	
イ	
ス	
ト	
、	
岸	
本	
葉	
子	
さ	
ん	
（	
４	TIMEX3 valueFromSurface="P42Y" tid="t4" definite="FALSE" type="DURATION" value="P42Y"
２	
）	
は	
「	
年	TIMEX3 valueFromSurface="XXXX" tid="t5" definite="TRUE" type="DATE" value="XXXX" mod="END"
末	
年	TIMEX3 valueFromSurface="XXXX-01" tid="t6" definite="TRUE" type="DATE" value="XXXX-01" mod="START"
始	
の	
休	
み	
は	
、	
日	
ご	
ろ	
や	EVENT eid="e18" class="OCCURRENCE"
り	
た	
か	
っ	
た	
こ	
と	
を	
実	EVENT eid="e19" class="I_ACTION"
行	
す	
る	
好	
機	
」	
と	
言	EVENT eid="e20" class="REPORTING"
う	
。	
　	
大	
掃	
除	
や	
部	
屋	
の	
模	
様	
替	
え	
は	
そ	
の	
一	
つ	
だ	
。	
「	
無	EVENT eid="e21" class="OCCURRENCE"
理	
し	
て	
頑	EVENT eid="e22" class="OCCURRENCE"
張	
る	
必	
要	
は	
な	EVENT eid="e23" class="STATE"
い	
が	
、	
私	
は	
布	
団	
や	
カ	
ー	
テ	
ン	
な	
ど	
の	
大	
物	
を	
洗	EVENT eid="e24" class="OCCURRENCE"
濯	
す	
る	
の	
が	
好	EVENT eid="e25" class="NULL"
き	
。	
特	
に	
カ	
ー	
テ	
ン	
は	
、	
ひ	
だ	
の	
奥	
の	
黒	
ず	
み	
ま	
で	
取	EVENT eid="e26" class="OCCURRENCE"
れ	
て	
部	
屋	
が	
明	EVENT eid="e27" class="NULL"
る	
く	
な	EVENT eid="e28" class="OCCURRENCE"
り	
、	
模	EVENT eid="e29" class="NULL"
様	
替	
え	
し	
た	
よ	
う	
な	
効	
果	
が	
得	EVENT eid="e30" class="OCCURRENCE"
ら	
れ	
ま	
す	
」	
　	
料	
理	
の	
レ	
パ	
ー	
ト	
リ	
ー	
を	
広	EVENT eid="e31" class="OCCURRENCE"
げ	
る	
の	
も	
よ	EVENT eid="e32" class="NULL"
い	
。	
「	
普	
段	
は	
決	EVENT eid="e33" class="NULL"
ま	
っ	
た	
も	
の	
し	
か	
料	EVENT eid="e34" class="NULL"
理	
し	
な	
い	
の	
で	
、	
お	
け	
い	
こ	
感	
覚	
で	
。	
雑	
穀	
や	
豆	
を	
使	EVENT eid="e35" class="NULL"
っ	
た	
料	
理	
や	
い	EVENT eid="e36" class="NULL"
ろ	
い	
ろ	
な	
焼	
き	
菓	
子	
な	
ど	
、	
新	
メ	
ニ	
ュ	
ー	
開	
発	
に	
挑	EVENT eid="e37" class="I_ACTION"
戦	
し	
た	
い	
」	
と	
話	EVENT eid="e38" class="REPORTING"
す	
。	
　	
「	
１	
人	
」	
に	
力	
点	
を	
置	EVENT eid="e39" class="OCCURRENCE"
く	
な	
ら	
、	
断	
食	
や	
ダ	
イ	
エ	
ッ	
ト	
に	
は	
格	
好	
の	
状	
況	
と	
言	EVENT eid="e40" class="I_STATE"
え	
る	
だ	
ろ	
う	
。	
「	
家	
族	
が	
い	EVENT eid="e41" class="OCCURRENCE"
た	
ら	
絶	
対	
に	
で	EVENT eid="e42" class="OCCURRENCE"
き	
な	
い	
。	
友	
人	
や	
同	
僚	
が	
